iter	Passed	Remaining
895	2900	336
896	2903	333
897	2906	330
898	2909	326
899	2911	323
900	2914	320
901	2917	316
902	2920	313
903	2923	310
904	2926	307
905	2929	303
906	2931	300
907	2935	297
908	2938	294
909	2940	290
910	2943	287
911	2946	284
912	2949	281
913	2952	277
914	2955	274
915	2958	271
916	2960	268
917	2963	264
918	2966	261
919	2969	258
920	2972	254
921	2975	251
922	2978	248
923	2981	245
924	2984	241
925	2987	238
926	2990	235
927	2993	232
928	2997	229
929	3000	225
930	3003	222
931	3006	219
932	3010	216
933	3013	212
934	3016	209
935	3019	206
936	3022	203
937	3026	200
938	3029	196
939	3032	193
940	3035	190
941	3038	187
942	3041	183
943	3045	180
944	3048	177
945	3051	174
946	3054	170
947	3057	167
948	3060	164
949	3063	161
950	3066	158
951	3069	154
952	3072	151
953	3075	148
954	3078	145
955	3081	141
956	3084	138
957	3087	135
958	3090	132
959	3093	128
960	3097	125
961	3100	122
962	3102	119
963	3105	115
964	3108	112
965	3111	109
966	3114	106
967	3117	103
968	3120	99
969	3123	96
970	3126	93
971	3129	90
972	3131	86
973	3134	83
974	3137	80
975	3140	77
976	3142	73
977	3145	70
978	3148	67
979	3151	64
980	3153	61
981	3156	57
982	3159	54
983	3162	51
984	3165	48
985	3167	44
986	3170	41
987	3173	38
988	3176	35
989	3179	32
990	3182	28
991	3185	25
992	3188	22
993	3191	19
994	3194	16
995	3197	12
996	3200	9
997	3203	6
998	3205	3
999	3208	0
